uniprot_accession,organism,organism_type,gh_family,has_usable_structure,n_structure_entries,structure_sources,best_structure_source,best_structure_id,best_structure_path,best_standardization_status
Q45VU2,Bacillus subtilis,bacterial,GH11,True,1,modeller,modeller,Q45VU2_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q45VU2_modeller_Q45VU2_modeller.pdb,standardized
C7DZC1,Priestia megaterium (Bacillus megaterium),bacterial,GH11,True,1,modeller,modeller,C7DZC1_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C7DZC1_modeller_C7DZC1_modeller.pdb,standardized
B5M6I0,Bacillus amyloliquefaciens (Bacillus velezensis),bacterial,GH11,True,1,modeller,modeller,B5M6I0_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B5M6I0_modeller_B5M6I0_modeller.pdb,standardized
A5H0S3,Bacillus licheniformis,bacterial,GH11,True,1,modeller,modeller,A5H0S3_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A5H0S3_modeller_A5H0S3_modeller.pdb,standardized
B7SIW2,Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum),fungal,GH10,True,1,modeller,modeller,B7SIW2_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B7SIW2_modeller_B7SIW2_modeller.pdb,standardized
A3QRI7,Paenibacillus sp. HY8,bacterial,GH11,True,1,modeller,modeller,A3QRI7_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A3QRI7_modeller_A3QRI7_modeller.pdb,standardized
E3EBI0,Paenibacillus polymyxa (strain SC2) (Bacillus polymyxa),bacterial,GH11,True,1,modeller,modeller,E3EBI0_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E3EBI0_modeller_E3EBI0_modeller.pdb,standardized
D2KPJ0,Bacillus sp. JB99,bacterial,GH11,True,1,modeller,modeller,D2KPJ0_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D2KPJ0_modeller_D2KPJ0_modeller.pdb,standardized
Q6U894,Cytobacillus firmus (Bacillus firmus),bacterial,GH11,True,1,modeller,modeller,Q6U894_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q6U894_modeller_Q6U894_modeller.pdb,standardized
Q5AWC9,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),fungal,GH10,True,1,modeller,modeller,Q5AWC9_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q5AWC9_modeller_Q5AWC9_modeller.pdb,standardized
E1AHZ6,Paenibacillus polymyxa (Bacillus polymyxa),bacterial,GH11,True,1,modeller,modeller,E1AHZ6_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E1AHZ6_modeller_E1AHZ6_modeller.pdb,standardized
A9KJ59,Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans),bacterial,GH11,True,1,modeller,modeller,A9KJ59_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A9KJ59_modeller_A9KJ59_modeller.pdb,standardized
Q9F9B9,Paenibacillus sp. KCTC8848P,bacterial,GH11,True,1,modeller,modeller,Q9F9B9_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9F9B9_modeller_Q9F9B9_modeller.pdb,standardized
B8E1P4,Dictyoglomus turgidum (strain DSM 6724 / Z-1310),bacterial,GH11,True,1,modeller,modeller,B8E1P4_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B8E1P4_modeller_B8E1P4_modeller.pdb,standardized
B5YCB5,Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12),bacterial,GH11,True,1,modeller,modeller,B5YCB5_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B5YCB5_modeller_B5YCB5_modeller.pdb,standardized
P77853,Dictyoglomus thermophilum,bacterial,GH11,True,1,pdb,pdb,1F5J_A_Repair,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/P77853_pdb_1F5J_A_Repair.pdb,standardized
B4XVN1,Streptomyces sp,bacterial,GH10,True,4,pdb,pdb,3WUB_A_Repair,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B4XVN1_pdb_3WUB_A_Repair.pdb,standardized
D5UQ92,Tsukamurella paurometabola (strain ATCC 8368 / DSM 20162 / CCUG 35730 / CIP 100753 / JCM 10117 / KCTC 9821 / NBRC 16120 / NCIMB 702349 / NCTC 13040) (Corynebacterium paurometabolum),bacterial,GH10,True,1,modeller,modeller,D5UQ92_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D5UQ92_modeller_D5UQ92_modeller.pdb,standardized
D6Y4B1,Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / KCTC 9307 / NBRC 14880 / R51),bacterial,GH11,True,1,modeller,modeller,D6Y4B1_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D6Y4B1_modeller_D6Y4B1_modeller.pdb,standardized
Q7Z948,Volvariella volvacea,fungal,GH10,True,1,modeller,modeller,Q7Z948_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q7Z948_modeller_Q7Z948_modeller.pdb,standardized
E2IHD8,Microbispora corallina,bacterial,GH10,True,1,modeller,modeller,E2IHD8_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E2IHD8_modeller_E2IHD8_modeller.pdb,standardized
Q9X584,Streptomyces avermitilis,bacterial,GH10,True,1,modeller,modeller,Q9X584_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q9X584_modeller_Q9X584_modeller.pdb,standardized
Q6TDT4,Alkalihalobacillus alcalophilus (Bacillus alcalophilus),bacterial,GH10,True,1,modeller,modeller,Q6TDT4_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q6TDT4_modeller_Q6TDT4_modeller.pdb,standardized
A9GMS2,Sorangium cellulosum (strain So ce56) (Polyangium cellulosum (strain So ce56)),bacterial,GH10,True,1,modeller,modeller,A9GMS2_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A9GMS2_modeller_A9GMS2_modeller.pdb,standardized
D7C775,Streptomyces bingchenggensis (strain BCW-1),bacterial,GH10,True,1,modeller,modeller,D7C775_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D7C775_modeller_D7C775_modeller.pdb,standardized
Q8J0K5,Talaromyces funiculosus (Fruitlet core rot fungus) (Penicillium funiculosum),fungal,GH11,True,1,modeller,modeller,Q8J0K5_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/Q8J0K5_modeller_Q8J0K5_modeller.pdb,standardized
B8I371,Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) (Clostridium cellulolyticum),bacterial,GH11,True,1,modeller,modeller,B8I371_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/B8I371_modeller_B8I371_modeller.pdb,standardized
A9KJ62,Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans),bacterial,GH10,True,1,modeller,modeller,A9KJ62_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/A9KJ62_modeller_A9KJ62_modeller.pdb,standardized
O69261,Thermobacillus xylanilyticus,bacterial,GH10,True,1,modeller,modeller,O69261_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O69261_modeller_O69261_modeller.pdb,standardized
D5UIQ2,Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134),bacterial,GH10,True,1,modeller,modeller,D5UIQ2_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D5UIQ2_modeller_D5UIQ2_modeller.pdb,standardized
C7NT55,Halorhabdus utahensis (strain DSM 12940 / JCM 11049 / AX-2),archaea,GH11,True,1,modeller,modeller,C7NT55_modeller,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C7NT55_modeller_C7NT55_modeller.pdb,standardized
