uniprot_accession,organism,organism_type,gh_family,structure_source,structure_id,structure_path,template_code,template_identity,template_coverage,foldx_wt_total_energy,foldx_energy_per_residue,structure_exists,standardized_structure_path,standardization_status,structure_source_normalized,structure_source_priority,usable_structure_path,usable_structure_exists,usable_structure_status,structure_manifest_row_id,structure_file_format,n_atom_records,n_hetatm_records,n_model_records,stage3_standardized_structure_path,stage3_standardization_status,stage3_copy_mode,stage3_copy_operation,stage3_standardization_error
C6CRV0,Paenibacillus sp. (strain JDR-2),bacterial,GH10,pdb,3RDK_B_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/3RDK.cif,,,,-70.08,-0.2098203592814371,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C6CRV0_pdb_3RDK_B_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C6CRV0_pdb_3RDK_B_Repair.pdb,True,available,structure_000152,pdb,5483,881,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/C6CRV0_pdb_3RDK_B_Repair.pdb,standardized_available,copy,skipped_existing,
C6CRV0,Paenibacillus sp. (strain JDR-2),bacterial,GH10,pdb,3RO8_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/3RO8.cif,,,,-30.07,-0.09891447368421052,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C6CRV0_pdb_3RO8_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C6CRV0_pdb_3RO8_A_Repair.pdb,True,available,structure_000153,pdb,20400,3333,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/C6CRV0_pdb_3RO8_A_Repair.pdb,standardized_available,copy,skipped_existing,
C6CRV0,Paenibacillus sp. (strain JDR-2),bacterial,GH10,pdb,4E4P_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/4E4P.cif,,,,-20.32,-0.06935153583617748,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C6CRV0_pdb_4E4P_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/C6CRV0_pdb_4E4P_A_Repair.pdb,True,available,structure_000170,pdb,4644,234,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/C6CRV0_pdb_4E4P_A_Repair.pdb,standardized_available,copy,skipped_existing,
D0QF43,Bispora sp. MEY-1,fungal,GH10,pdb,5XZO_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/5XZO.cif,,,,-17.05,-0.0508955223880597,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D0QF43_pdb_5XZO_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D0QF43_pdb_5XZO_A_Repair.pdb,True,available,structure_000201,pdb,5295,843,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/D0QF43_pdb_5XZO_A_Repair.pdb,standardized_available,copy,skipped_existing,
D0QF43,Bispora sp. MEY-1,fungal,GH10,pdb,5XZU_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/5XZU.cif,,,,-20.01,-0.05991017964071857,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D0QF43_pdb_5XZU_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D0QF43_pdb_5XZU_A_Repair.pdb,True,available,structure_000202,pdb,5285,700,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/D0QF43_pdb_5XZU_A_Repair.pdb,standardized_available,copy,skipped_existing,
D5UH90,Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134),bacterial,GH10,pdb,5M0K_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/5M0K.cif,,,,5.71,0.019096989966555185,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D5UH90_pdb_5M0K_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/D5UH90_pdb_5M0K_A_Repair.pdb,True,available,structure_000198,pdb,4614,31,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/D5UH90_pdb_5M0K_A_Repair.pdb,standardized_available,copy,skipped_existing,
E4Q2A4,Caldicellulosiruptor owensensis (strain ATCC 700167 / DSM 13100 / OL),bacterial,GH10,pdb,5Y3X_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/5Y3X.cif,,,,-56.07,-0.17042553191489362,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4Q2A4_pdb_5Y3X_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4Q2A4_pdb_5Y3X_A_Repair.pdb,True,available,structure_000203,pdb,16634,1121,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/E4Q2A4_pdb_5Y3X_A_Repair.pdb,standardized_available,copy,skipped_existing,
E4S6E9,Caldicellulosiruptor acetigenus (strain ATCC 700853 / DSM 12137 / I77R1B) (Caldicellulosiruptor kristjanssonii),bacterial,GH10,pdb,7NN3_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/7NN3.cif,,,,-38.38,-0.10020887728459531,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4S6E9_pdb_7NN3_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4S6E9_pdb_7NN3_A_Repair.pdb,True,available,structure_000212,pdb,12015,1552,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/E4S6E9_pdb_7NN3_A_Repair.pdb,standardized_available,copy,skipped_existing,
E4S6E9,Caldicellulosiruptor acetigenus (strain ATCC 700853 / DSM 12137 / I77R1B) (Caldicellulosiruptor kristjanssonii),bacterial,GH10,pdb,7NWN_AAA_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/7NWN.cif,,,,,,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4S6E9_pdb_7NWN_AAA_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4S6E9_pdb_7NWN_AAA_Repair.pdb,True,available,structure_000213,pdb,1616,237,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/E4S6E9_pdb_7NWN_AAA_Repair.pdb,standardized_available,copy,skipped_existing,
E4S6E9,Caldicellulosiruptor acetigenus (strain ATCC 700853 / DSM 12137 / I77R1B) (Caldicellulosiruptor kristjanssonii),bacterial,GH10,pdb,7NWO_AAA_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/7NWO.cif,,,,,,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4S6E9_pdb_7NWO_AAA_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4S6E9_pdb_7NWO_AAA_Repair.pdb,True,available,structure_000214,pdb,1549,204,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/E4S6E9_pdb_7NWO_AAA_Repair.pdb,standardized_available,copy,skipped_existing,
E4S6E9,Caldicellulosiruptor acetigenus (strain ATCC 700853 / DSM 12137 / I77R1B) (Caldicellulosiruptor kristjanssonii),bacterial,GH10,pdb,7NWP_AAA_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/7NWP.cif,,,,,,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4S6E9_pdb_7NWP_AAA_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4S6E9_pdb_7NWP_AAA_Repair.pdb,True,available,structure_000215,pdb,1592,162,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/E4S6E9_pdb_7NWP_AAA_Repair.pdb,standardized_available,copy,skipped_existing,
E4S6E9,Caldicellulosiruptor acetigenus (strain ATCC 700853 / DSM 12137 / I77R1B) (Caldicellulosiruptor kristjanssonii),bacterial,GH10,pdb,7NWQ_AAA_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/7NWQ.cif,,,,,,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4S6E9_pdb_7NWQ_AAA_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/E4S6E9_pdb_7NWQ_AAA_Repair.pdb,True,available,structure_000216,pdb,1608,269,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/E4S6E9_pdb_7NWQ_AAA_Repair.pdb,standardized_available,copy,skipped_existing,
G0RUP7,Hypocrea jecorina (strain QM6a) (Trichoderma reesei),fungal,GH11,pdb,8KEU_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/8KEU.cif,,,,-16.62,-0.08747368421052631,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/G0RUP7_pdb_8KEU_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/G0RUP7_pdb_8KEU_A_Repair.pdb,True,available,structure_000223,pdb,1529,268,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/G0RUP7_pdb_8KEU_A_Repair.pdb,standardized_available,copy,skipped_existing,
O30700,Bacillus sp. NG-27,bacterial,GH10,pdb,2F8Q_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/2F8Q.cif,,,,-25.94,-0.0734844192634561,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_2F8Q_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_2F8Q_A_Repair.pdb,True,available,structure_000110,pdb,5704,754,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O30700_pdb_2F8Q_A_Repair.pdb,standardized_available,copy,skipped_existing,
O30700,Bacillus sp. NG-27,bacterial,GH10,pdb,2FGL_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/2FGL.cif,,,,-20.3,-0.05734463276836158,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_2FGL_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_2FGL_A_Repair.pdb,True,available,structure_000111,pdb,5766,612,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O30700_pdb_2FGL_A_Repair.pdb,standardized_available,copy,skipped_existing,
O30700,Bacillus sp. NG-27,bacterial,GH10,pdb,4QCE_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/4QCE.cif,,,,-53.76,-0.151864406779661,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_4QCE_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_4QCE_A_Repair.pdb,True,available,structure_000179,pdb,5807,423,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O30700_pdb_4QCE_A_Repair.pdb,standardized_available,copy,skipped_existing,
O30700,Bacillus sp. NG-27,bacterial,GH10,pdb,4QCF_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/4QCF.cif,,,,-36.56,-0.1032768361581921,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_4QCF_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_4QCF_A_Repair.pdb,True,available,structure_000180,pdb,2905,207,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O30700_pdb_4QCF_A_Repair.pdb,standardized_available,copy,skipped_existing,
O30700,Bacillus sp. NG-27,bacterial,GH10,pdb,4QDM_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/4QDM.cif,,,,-53.97,-0.15245762711864405,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_4QDM_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_4QDM_A_Repair.pdb,True,available,structure_000181,pdb,5854,450,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O30700_pdb_4QDM_A_Repair.pdb,standardized_available,copy,skipped_existing,
O30700,Bacillus sp. NG-27,bacterial,GH10,pdb,5EB8_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/5EB8.cif,,,,-51.84,-0.14644067796610172,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_5EB8_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_5EB8_A_Repair.pdb,True,available,structure_000190,pdb,5796,421,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O30700_pdb_5EB8_A_Repair.pdb,standardized_available,copy,skipped_existing,
O30700,Bacillus sp. NG-27,bacterial,GH10,pdb,5EBA_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/5EBA.cif,,,,-27.97,-0.07901129943502824,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_5EBA_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_5EBA_A_Repair.pdb,True,available,structure_000191,pdb,2888,165,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O30700_pdb_5EBA_A_Repair.pdb,standardized_available,copy,skipped_existing,
O30700,Bacillus sp. NG-27,bacterial,GH10,pdb,5EFD_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/5EFD.cif,,,,-67.08,-0.1894915254237288,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_5EFD_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_5EFD_A_Repair.pdb,True,available,structure_000192,pdb,5842,475,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O30700_pdb_5EFD_A_Repair.pdb,standardized_available,copy,skipped_existing,
O30700,Bacillus sp. NG-27,bacterial,GH10,pdb,5EFF_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/5EFF.cif,,,,-46.7,-0.13192090395480227,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_5EFF_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_5EFF_A_Repair.pdb,True,available,structure_000193,pdb,5771,122,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O30700_pdb_5EFF_A_Repair.pdb,standardized_available,copy,skipped_existing,
O30700,Bacillus sp. NG-27,bacterial,GH10,pdb,5XC0_B_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/5XC0.cif,,,,-40.63,-0.11477401129943504,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_5XC0_B_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_5XC0_B_Repair.pdb,True,available,structure_000199,pdb,5710,213,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O30700_pdb_5XC0_B_Repair.pdb,standardized_available,copy,skipped_existing,
O30700,Bacillus sp. NG-27,bacterial,GH10,pdb,5XC1_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/5XC1.cif,,,,-66.39,-0.18754237288135595,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_5XC1_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O30700_pdb_5XC1_A_Repair.pdb,True,available,structure_000200,pdb,5764,407,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O30700_pdb_5XC1_A_Repair.pdb,standardized_available,copy,skipped_existing,
O43097,Thermomyces lanuginosus (Humicola lanuginosa),fungal,GH11,pdb,1YNA_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/1YNA.cif,,,,-18.15,-0.09404145077720207,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O43097_pdb_1YNA_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O43097_pdb_1YNA_A_Repair.pdb,True,available,structure_000094,pdb,1504,146,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O43097_pdb_1YNA_A_Repair.pdb,standardized_available,copy,skipped_existing,
O52780,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),bacterial,GH11,pdb,1GMM_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/1GMM.cif,,,,29.39,0.23325396825396827,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O52780_pdb_1GMM_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O52780_pdb_1GMM_A_Repair.pdb,True,available,structure_000029,pdb,998,187,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O52780_pdb_1GMM_A_Repair.pdb,standardized_available,copy,skipped_existing,
O52780,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),bacterial,GH11,pdb,1UXX_X_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UXX.cif,,,,2.27,0.01816,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O52780_pdb_1UXX_X_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O52780_pdb_1UXX_X_Repair.pdb,True,available,structure_000071,pdb,931,155,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O52780_pdb_1UXX_X_Repair.pdb,standardized_available,copy,skipped_existing,
O68541,Cellvibrio mixtus,bacterial,GH10,pdb,1UQY_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UQY.cif,,,,-79.42,-0.22887608069164267,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O68541_pdb_1UQY_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O68541_pdb_1UQY_A_Repair.pdb,True,available,structure_000067,pdb,2819,628,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O68541_pdb_1UQY_A_Repair.pdb,standardized_available,copy,skipped_existing,
O68541,Cellvibrio mixtus,bacterial,GH10,pdb,1UQZ_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UQZ.cif,,,,-84.83,-0.24376436781609195,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O68541_pdb_1UQZ_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O68541_pdb_1UQZ_A_Repair.pdb,True,available,structure_000068,pdb,2837,654,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O68541_pdb_1UQZ_A_Repair.pdb,standardized_available,copy,skipped_existing,
O68541,Cellvibrio mixtus,bacterial,GH10,pdb,1UR1_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UR1.cif,,,,-85.5,-0.24710982658959538,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O68541_pdb_1UR1_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O68541_pdb_1UR1_A_Repair.pdb,True,available,structure_000069,pdb,2856,607,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O68541_pdb_1UR1_A_Repair.pdb,standardized_available,copy,skipped_existing,
O68541,Cellvibrio mixtus,bacterial,GH10,pdb,1UR2_A_Repair,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UR2.cif,,,,-86.87,-0.24749287749287752,True,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O68541_pdb_1UR2_A_Repair.pdb,standardized,pdb,1,/home/ubuntu/xylanase-thesis/data/structures/combined_standardized/O68541_pdb_1UR2_A_Repair.pdb,True,available,structure_000070,pdb,2867,659,0,/home/ubuntu/xylanase-thesis/data/structures/frozen_thesis_standardized/O68541_pdb_1UR2_A_Repair.pdb,standardized_available,copy,skipped_existing,
