uniprot_accession,organism_type,gh_family,organism,structure_source,pdb_id,structure_file
B9MMA5,bacterial,GH10,Caldicellulosiruptor bescii (strain ATCC BAA-1888 / DSM 6725 / KCTC 15123 / Z-1320) (Anaerocellum thermophilum),pdb,4PMD,data/structures/pdb/4PMD.pdb
D8DVU6,bacterial,GH10,Segatella baroniae B14,pdb,4MGQ,data/structures/pdb/4MGQ.pdb
E4Q2A4,bacterial,GH10,Caldicellulosiruptor owensensis (strain ATCC 700167 / DSM 13100 / OL),pdb,5Y3X,data/structures/pdb/5Y3X.pdb
F7YXD6,bacterial,GH10,Pseudothermotoga thermarum DSM 5069,pdb,7NL2,data/structures/pdb/7NL2.pdb
F7YXD6,bacterial,GH10,Pseudothermotoga thermarum DSM 5069,pdb,8BBI,data/structures/pdb/8BBI.pdb
K7PDC1,bacterial,GH10,uncultured bacterium 35A20,pdb,4HU8,data/structures/pdb/4HU8.pdb
L0EGW1,bacterial,GH10,Thermobacillus composti (strain DSM 18247 / JCM 13945 / KWC4),pdb,6WQW,data/structures/pdb/6WQW.pdb
O30700,bacterial,GH10,Bacillus sp. NG-27,pdb,2F8Q,data/structures/pdb/2F8Q.pdb
O30700,bacterial,GH10,Bacillus sp. NG-27,pdb,2FGL,data/structures/pdb/2FGL.pdb
O30700,bacterial,GH10,Bacillus sp. NG-27,pdb,4QCE,data/structures/pdb/4QCE.pdb
O30700,bacterial,GH10,Bacillus sp. NG-27,pdb,4QCF,data/structures/pdb/4QCF.pdb
O30700,bacterial,GH10,Bacillus sp. NG-27,pdb,4QDM,data/structures/pdb/4QDM.pdb
O30700,bacterial,GH10,Bacillus sp. NG-27,pdb,5EB8,data/structures/pdb/5EB8.pdb
O30700,bacterial,GH10,Bacillus sp. NG-27,pdb,5EBA,data/structures/pdb/5EBA.pdb
O30700,bacterial,GH10,Bacillus sp. NG-27,pdb,5EFD,data/structures/pdb/5EFD.pdb
O30700,bacterial,GH10,Bacillus sp. NG-27,pdb,5EFF,data/structures/pdb/5EFF.pdb
O30700,bacterial,GH10,Bacillus sp. NG-27,pdb,5XC0,data/structures/pdb/5XC0.pdb
O30700,bacterial,GH10,Bacillus sp. NG-27,pdb,5XC1,data/structures/pdb/5XC1.pdb
O68541,bacterial,GH10,Cellvibrio mixtus,pdb,1UQY,data/structures/pdb/1UQY.pdb
O68541,bacterial,GH10,Cellvibrio mixtus,pdb,1UQZ,data/structures/pdb/1UQZ.pdb
O68541,bacterial,GH10,Cellvibrio mixtus,pdb,1UR1,data/structures/pdb/1UR1.pdb
O68541,bacterial,GH10,Cellvibrio mixtus,pdb,1UR2,data/structures/pdb/1UR2.pdb
O68541,bacterial,GH10,Cellvibrio mixtus,pdb,2CNC,data/structures/pdb/2CNC.pdb
O69230,bacterial,GH10,Paenibacillus barcinonensis,pdb,4W8L,data/structures/pdb/4W8L.pdb
O69230,bacterial,GH10,Paenibacillus barcinonensis,pdb,4XUN,data/structures/pdb/4XUN.pdb
O69230,bacterial,GH10,Paenibacillus barcinonensis,pdb,4XUO,data/structures/pdb/4XUO.pdb
O69230,bacterial,GH10,Paenibacillus barcinonensis,pdb,4XUP,data/structures/pdb/4XUP.pdb
O69230,bacterial,GH10,Paenibacillus barcinonensis,pdb,4XUQ,data/structures/pdb/4XUQ.pdb
O69230,bacterial,GH10,Paenibacillus barcinonensis,pdb,4XUR,data/structures/pdb/4XUR.pdb
O69230,bacterial,GH10,Paenibacillus barcinonensis,pdb,4XUT,data/structures/pdb/4XUT.pdb
O69231,bacterial,GH10,Paenibacillus barcinonensis,pdb,3EMC,data/structures/pdb/3EMC.pdb
O69231,bacterial,GH10,Paenibacillus barcinonensis,pdb,3EMQ,data/structures/pdb/3EMQ.pdb
O69231,bacterial,GH10,Paenibacillus barcinonensis,pdb,3EMZ,data/structures/pdb/3EMZ.pdb
P07528,bacterial,GH10,Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans),pdb,2UWF,data/structures/pdb/2UWF.pdb
P07528,bacterial,GH10,Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans),pdb,7CPK,data/structures/pdb/7CPK.pdb
P07528,bacterial,GH10,Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans),pdb,7CPL,data/structures/pdb/7CPL.pdb
P07528,bacterial,GH10,Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans),pdb,8XY0,data/structures/pdb/8XY0.pdb
P07528,bacterial,GH10,Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans),pdb,8Y1M,data/structures/pdb/8Y1M.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,1EXG,data/structures/pdb/1EXG.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,1EXH,data/structures/pdb/1EXH.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,1EXP,data/structures/pdb/1EXP.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,1FH7,data/structures/pdb/1FH7.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,1FH8,data/structures/pdb/1FH8.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,1FH9,data/structures/pdb/1FH9.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,1FHD,data/structures/pdb/1FHD.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,1J01,data/structures/pdb/1J01.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,2EXO,data/structures/pdb/2EXO.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,2HIS,data/structures/pdb/2HIS.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,2XYL,data/structures/pdb/2XYL.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,3CUF,data/structures/pdb/3CUF.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,3CUG,data/structures/pdb/3CUG.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,3CUH,data/structures/pdb/3CUH.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,3CUI,data/structures/pdb/3CUI.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,3CUJ,data/structures/pdb/3CUJ.pdb
P07986,bacterial,GH10,Cellulomonas fimi,pdb,6QFS,data/structures/pdb/6QFS.pdb
P10478,bacterial,GH10,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum),pdb,1JJF,data/structures/pdb/1JJF.pdb
P10478,bacterial,GH10,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum),pdb,1JT2,data/structures/pdb/1JT2.pdb
P10478,bacterial,GH10,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum),pdb,1XYZ,data/structures/pdb/1XYZ.pdb
P14768,bacterial,GH10,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),pdb,1CLX,data/structures/pdb/1CLX.pdb
P14768,bacterial,GH10,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),pdb,1E5N,data/structures/pdb/1E5N.pdb
P14768,bacterial,GH10,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),pdb,1E8R,data/structures/pdb/1E8R.pdb
P14768,bacterial,GH10,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),pdb,1QLD,data/structures/pdb/1QLD.pdb
P14768,bacterial,GH10,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),pdb,1W2P,data/structures/pdb/1W2P.pdb
P14768,bacterial,GH10,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),pdb,1W2V,data/structures/pdb/1W2V.pdb
P14768,bacterial,GH10,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),pdb,1W32,data/structures/pdb/1W32.pdb
P14768,bacterial,GH10,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),pdb,1W3H,data/structures/pdb/1W3H.pdb
P14768,bacterial,GH10,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),pdb,1XYS,data/structures/pdb/1XYS.pdb
P26514,bacterial,GH10,Streptomyces lividans,pdb,1E0V,data/structures/pdb/1E0V.pdb
P26514,bacterial,GH10,Streptomyces lividans,pdb,1E0W,data/structures/pdb/1E0W.pdb
P26514,bacterial,GH10,Streptomyces lividans,pdb,1E0X,data/structures/pdb/1E0X.pdb
P26514,bacterial,GH10,Streptomyces lividans,pdb,1KNL,data/structures/pdb/1KNL.pdb
P26514,bacterial,GH10,Streptomyces lividans,pdb,1KNM,data/structures/pdb/1KNM.pdb
P26514,bacterial,GH10,Streptomyces lividans,pdb,1MC9,data/structures/pdb/1MC9.pdb
P26514,bacterial,GH10,Streptomyces lividans,pdb,1OD8,data/structures/pdb/1OD8.pdb
P26514,bacterial,GH10,Streptomyces lividans,pdb,1V0K,data/structures/pdb/1V0K.pdb
P26514,bacterial,GH10,Streptomyces lividans,pdb,1V0L,data/structures/pdb/1V0L.pdb
P26514,bacterial,GH10,Streptomyces lividans,pdb,1V0M,data/structures/pdb/1V0M.pdb
P26514,bacterial,GH10,Streptomyces lividans,pdb,1V0N,data/structures/pdb/1V0N.pdb
P26514,bacterial,GH10,Streptomyces lividans,pdb,1XAS,data/structures/pdb/1XAS.pdb
P40942,bacterial,GH10,Thermoclostridium stercorarium (Clostridium stercorarium),pdb,2DEP,data/structures/pdb/2DEP.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,1HIZ,data/structures/pdb/1HIZ.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,1R85,data/structures/pdb/1R85.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,1R86,data/structures/pdb/1R86.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,1R87,data/structures/pdb/1R87.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,3MMD,data/structures/pdb/3MMD.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,4PRW,data/structures/pdb/4PRW.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,4PUD,data/structures/pdb/4PUD.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,4PUE,data/structures/pdb/4PUE.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FK1,data/structures/pdb/9FK1.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FK2,data/structures/pdb/9FK2.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FK3,data/structures/pdb/9FK3.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FK4,data/structures/pdb/9FK4.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FK6,data/structures/pdb/9FK6.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FK7,data/structures/pdb/9FK7.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FK8,data/structures/pdb/9FK8.pdb
P40943,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FK9,data/structures/pdb/9FK9.pdb
P45703,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FKH,data/structures/pdb/9FKH.pdb
P45703,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FKI,data/structures/pdb/9FKI.pdb
P45703,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FKJ,data/structures/pdb/9FKJ.pdb
P45703,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FKK,data/structures/pdb/9FKK.pdb
P45703,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,9FKL,data/structures/pdb/9FKL.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,1DYO,data/structures/pdb/1DYO.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,1GKK,data/structures/pdb/1GKK.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,1GKL,data/structures/pdb/1GKL.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,1H6X,data/structures/pdb/1H6X.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,1H6Y,data/structures/pdb/1H6Y.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,1OHZ,data/structures/pdb/1OHZ.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,1WB4,data/structures/pdb/1WB4.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,1WB5,data/structures/pdb/1WB5.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,1WB6,data/structures/pdb/1WB6.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,2CCL,data/structures/pdb/2CCL.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,2W5F,data/structures/pdb/2W5F.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,2WYS,data/structures/pdb/2WYS.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,2WZE,data/structures/pdb/2WZE.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,3ZI7,data/structures/pdb/3ZI7.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,4BAG,data/structures/pdb/4BAG.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,4H35,data/structures/pdb/4H35.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,5FXM,data/structures/pdb/5FXM.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,6FJ4,data/structures/pdb/6FJ4.pdb
P51584,bacterial,GH10,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),pdb,6Y8G,data/structures/pdb/6Y8G.pdb
P96988,bacterial,GH10,Rhodothermus marinus (Rhodothermus obamensis),pdb,1K42,data/structures/pdb/1K42.pdb
P96988,bacterial,GH10,Rhodothermus marinus (Rhodothermus obamensis),pdb,1K45,data/structures/pdb/1K45.pdb
Q09LY9,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,1N82,data/structures/pdb/1N82.pdb
Q09LY9,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,2Q8X,data/structures/pdb/2Q8X.pdb
Q09LY9,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,3MS8,data/structures/pdb/3MS8.pdb
Q09LY9,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,3MSD,data/structures/pdb/3MSD.pdb
Q09LY9,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,3MSG,data/structures/pdb/3MSG.pdb
Q09LY9,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,3MUA,data/structures/pdb/3MUA.pdb
Q09LY9,bacterial,GH10,Geobacillus stearothermophilus (Bacillus stearothermophilus),pdb,3MUI,data/structures/pdb/3MUI.pdb
Q17TM8,bacterial,GH10,Halalkalibacterium halodurans (Bacillus halodurans),pdb,6LPS,data/structures/pdb/6LPS.pdb
Q59675,bacterial,GH10,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),pdb,1GNY,data/structures/pdb/1GNY.pdb
Q59675,bacterial,GH10,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),pdb,1US2,data/structures/pdb/1US2.pdb
Q59675,bacterial,GH10,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),pdb,1US3,data/structures/pdb/1US3.pdb
Q59922,bacterial,GH10,Streptomyces halstedii,pdb,1NQ6,data/structures/pdb/1NQ6.pdb
Q60037,bacterial,GH10,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),pdb,1I82,data/structures/pdb/1I82.pdb
Q60037,bacterial,GH10,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),pdb,1I8A,data/structures/pdb/1I8A.pdb
Q60037,bacterial,GH10,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),pdb,1I8U,data/structures/pdb/1I8U.pdb
Q6V8M0,bacterial,GH10,Rhodothermus marinus (Rhodothermus obamensis),pdb,4BJ0,data/structures/pdb/4BJ0.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,1ISV,data/structures/pdb/1ISV.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,1ISW,data/structures/pdb/1ISW.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,1ISX,data/structures/pdb/1ISX.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,1ISY,data/structures/pdb/1ISY.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,1ISZ,data/structures/pdb/1ISZ.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,1IT0,data/structures/pdb/1IT0.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,1V6U,data/structures/pdb/1V6U.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,1V6V,data/structures/pdb/1V6V.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,1V6W,data/structures/pdb/1V6W.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,1V6X,data/structures/pdb/1V6X.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,1V6Y,data/structures/pdb/1V6Y.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,1XYF,data/structures/pdb/1XYF.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,2D1Z,data/structures/pdb/2D1Z.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,2D20,data/structures/pdb/2D20.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,2D22,data/structures/pdb/2D22.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,2D23,data/structures/pdb/2D23.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,2D24,data/structures/pdb/2D24.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,2G3I,data/structures/pdb/2G3I.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,2G3J,data/structures/pdb/2G3J.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,2G4F,data/structures/pdb/2G4F.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,5GQD,data/structures/pdb/5GQD.pdb
Q7SI98,bacterial,GH10,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,5GQE,data/structures/pdb/5GQE.pdb
Q7WTN6,bacterial,GH10,Rhodothermus marinus (Rhodothermus obamensis),pdb,2Y64,data/structures/pdb/2Y64.pdb
Q7WTN6,bacterial,GH10,Rhodothermus marinus (Rhodothermus obamensis),pdb,2Y6G,data/structures/pdb/2Y6G.pdb
Q7WTN6,bacterial,GH10,Rhodothermus marinus (Rhodothermus obamensis),pdb,2Y6H,data/structures/pdb/2Y6H.pdb
Q7WTN6,bacterial,GH10,Rhodothermus marinus (Rhodothermus obamensis),pdb,2Y6J,data/structures/pdb/2Y6J.pdb
Q7WTN6,bacterial,GH10,Rhodothermus marinus (Rhodothermus obamensis),pdb,2Y6K,data/structures/pdb/2Y6K.pdb
Q7WTN6,bacterial,GH10,Rhodothermus marinus (Rhodothermus obamensis),pdb,2Y6L,data/structures/pdb/2Y6L.pdb
Q7WTN6,bacterial,GH10,Rhodothermus marinus (Rhodothermus obamensis),pdb,3JXS,data/structures/pdb/3JXS.pdb
Q7WTN6,bacterial,GH10,Rhodothermus marinus (Rhodothermus obamensis),pdb,5DPN,data/structures/pdb/5DPN.pdb
Q9WXS5,bacterial,GH10,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),pdb,1VBR,data/structures/pdb/1VBR.pdb
Q9WXS5,bacterial,GH10,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),pdb,1VBU,data/structures/pdb/1VBU.pdb
A0A0M9BNX9,bacterial,GH11,Paenibacillus xylanivorans,pdb,7KV0,data/structures/pdb/7KV0.pdb
A0A543ISA3,bacterial,GH11,Thermopolyspora flexuosa,pdb,1M4W,data/structures/pdb/1M4W.pdb
A0A543ISA3,bacterial,GH11,Thermopolyspora flexuosa,pdb,3B5L,data/structures/pdb/3B5L.pdb
A0A543ISA3,bacterial,GH11,Thermopolyspora flexuosa,pdb,3MF6,data/structures/pdb/3MF6.pdb
A0A543ISA3,bacterial,GH11,Thermopolyspora flexuosa,pdb,3MF9,data/structures/pdb/3MF9.pdb
A0A543ISA3,bacterial,GH11,Thermopolyspora flexuosa,pdb,3MFA,data/structures/pdb/3MFA.pdb
A0A543ISA3,bacterial,GH11,Thermopolyspora flexuosa,pdb,3MFC,data/structures/pdb/3MFC.pdb
A0A7G1MBT0,bacterial,GH11,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,7DFM,data/structures/pdb/7DFM.pdb
A0A7G1MBT0,bacterial,GH11,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,7DFN,data/structures/pdb/7DFN.pdb
A0A7G1MBT0,bacterial,GH11,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,7DFO,data/structures/pdb/7DFO.pdb
A0ABW7V381,bacterial,GH11,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,7DFM,data/structures/pdb/7DFM.pdb
A0ABW7V381,bacterial,GH11,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,7DFN,data/structures/pdb/7DFN.pdb
A0ABW7V381,bacterial,GH11,Streptomyces olivaceoviridis (Streptomyces corchorusii),pdb,7DFO,data/structures/pdb/7DFO.pdb
I3VTR8,bacterial,GH11,Thermoanaerobacterium saccharolyticum (strain DSM 8691 / JW/SL-YS485),pdb,8IH0,data/structures/pdb/8IH0.pdb
I3VTR8,bacterial,GH11,Thermoanaerobacterium saccharolyticum (strain DSM 8691 / JW/SL-YS485),pdb,8IH1,data/structures/pdb/8IH1.pdb
I3VTR8,bacterial,GH11,Thermoanaerobacterium saccharolyticum (strain DSM 8691 / JW/SL-YS485),pdb,8X1D,data/structures/pdb/8X1D.pdb
I3VTR8,bacterial,GH11,Thermoanaerobacterium saccharolyticum (strain DSM 8691 / JW/SL-YS485),pdb,8YEA,data/structures/pdb/8YEA.pdb
I3VTR8,bacterial,GH11,Thermoanaerobacterium saccharolyticum (strain DSM 8691 / JW/SL-YS485),pdb,8YPX,data/structures/pdb/8YPX.pdb
I3VTR8,bacterial,GH11,Thermoanaerobacterium saccharolyticum (strain DSM 8691 / JW/SL-YS485),pdb,8YYN,data/structures/pdb/8YYN.pdb
