pdb_id,file_path,chosen_chain,chain_length,file_type,hbond_proxy_count,salt_bridge_count,disulfide_count,sasa_total,uniprot_accession,organism_type,organism,xref_cazy,gh_family,pdb_tag,foldx_wt_total_energy,foldx_energy_per_residue
1DYO,/home/ubuntu/xylanase-thesis/data/raw/pdb/1DYO.cif,A,153,cif,745.0,17.0,0.0,3837.538653432511,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,1DYO_A_Repair,25.63,0.16751633986928105
1E0V,/home/ubuntu/xylanase-thesis/data/raw/pdb/1E0V.cif,A,302,cif,2233.0,61.0,2.0,2781.350911258892,P26514,bacterial,Streptomyces lividans,CBM13;GH10;,GH10,1E0V_A_Repair,-47.97,-0.158841059602649
1E0W,/home/ubuntu/xylanase-thesis/data/raw/pdb/1E0W.cif,A,302,cif,2148.0,63.0,2.0,3459.585755260395,P26514,bacterial,Streptomyces lividans,CBM13;GH10;,GH10,1E0W_A_Repair,-27.86,-0.09225165562913908
1E0X,/home/ubuntu/xylanase-thesis/data/raw/pdb/1E0X.cif,A,310,cif,2117.0,63.0,2.0,4801.602169269447,P26514,bacterial,Streptomyces lividans,CBM13;GH10;,GH10,1E0X_A_Repair,-41.83,-0.13493548387096774
1E5B,/home/ubuntu/xylanase-thesis/data/raw/pdb/1E5B.cif,A,87,cif,236.0,4.0,1.0,4583.609907602979,P54865,bacterial,Cellulomonas fimi,CBM2;GH11;,GH11,1E5B_A_Repair,109.97,1.264022988505747
1E5C,/home/ubuntu/xylanase-thesis/data/raw/pdb/1E5C.cif,A,87,cif,237.0,4.0,1.0,4595.300590681077,P54865,bacterial,Cellulomonas fimi,CBM2;GH11;,GH11,1E5C_A_Repair,108.26,1.244367816091954
1E5N,/home/ubuntu/xylanase-thesis/data/raw/pdb/1E5N.cif,A,346,cif,1409.0,71.0,1.0,13729.58169912646,P14768,bacterial,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),CBM10;CBM2;GH10;,GH10,1E5N_A_Repair,25.68,0.07421965317919076
1E8R,/home/ubuntu/xylanase-thesis/data/raw/pdb/1E8R.cif,A,50,cif,144.0,2.0,2.0,3528.789725844208,P14768,bacterial,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),CBM10;CBM2;GH10;,GH10,1E8R_A_Repair,84.45,1.689
1ENX,/home/ubuntu/xylanase-thesis/data/raw/pdb/1ENX.cif,A,189,cif,885.0,19.0,0.0,4634.135664728584,P36217,fungal,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei),GH11;,GH11,1ENX_A_Repair,-1.14,-0.006031746031746031
1EXG,/home/ubuntu/xylanase-thesis/data/raw/pdb/1EXG.cif,A,110,cif,334.0,0.0,1.0,5774.876432642845,P07986,bacterial,Cellulomonas fimi,CBM2;GH10;,GH10,1EXG_A_Repair,180.2,1.6381818181818182
1EXH,/home/ubuntu/xylanase-thesis/data/raw/pdb/1EXH.cif,A,110,cif,358.0,0.0,1.0,5745.838478117415,P07986,bacterial,Cellulomonas fimi,CBM2;GH10;,GH10,1EXH_A_Repair,181.09,1.6462727272727273
1EXP,/home/ubuntu/xylanase-thesis/data/raw/pdb/1EXP.cif,A,312,cif,1685.0,62.0,2.0,7782.955036996767,P07986,bacterial,Cellulomonas fimi,CBM2;GH10;,GH10,1EXP_A_Repair,-15.58,-0.049935897435897436
1F5J,/home/ubuntu/xylanase-thesis/data/raw/pdb/1F5J.cif,A,199,cif,946.0,17.0,0.0,5016.73318144436,P77853,bacterial,Dictyoglomus thermophilum,CBM36;GH11;,GH11,1F5J_A_Repair,-4.49,-0.02256281407035176
1FH7,/home/ubuntu/xylanase-thesis/data/raw/pdb/1FH7.cif,A,312,cif,1899.0,64.0,2.0,6352.397684665344,P07986,bacterial,Cellulomonas fimi,CBM2;GH10;,GH10,1FH7_A_Repair,-31.21,-0.10003205128205128
1FH8,/home/ubuntu/xylanase-thesis/data/raw/pdb/1FH8.cif,A,312,cif,1844.0,65.0,2.0,6474.814341173144,P07986,bacterial,Cellulomonas fimi,CBM2;GH10;,GH10,1FH8_A_Repair,-33.16,-0.10628205128205127
1FH9,/home/ubuntu/xylanase-thesis/data/raw/pdb/1FH9.cif,A,312,cif,1872.0,67.0,2.0,6467.159825539933,P07986,bacterial,Cellulomonas fimi,CBM2;GH10;,GH10,1FH9_A_Repair,-40.63,-0.130224358974359
1FHD,/home/ubuntu/xylanase-thesis/data/raw/pdb/1FHD.cif,A,312,cif,1865.0,65.0,2.0,6274.565618884965,P07986,bacterial,Cellulomonas fimi,CBM2;GH10;,GH10,1FHD_A_Repair,-50.16,-0.16076923076923075
1GKK,/home/ubuntu/xylanase-thesis/data/raw/pdb/1GKK.cif,A,274,cif,1817.0,48.0,0.0,4503.904321627712,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,1GKK_A_Repair,-48.48,-0.17693430656934306
1GKL,/home/ubuntu/xylanase-thesis/data/raw/pdb/1GKL.cif,A,283,cif,1904.0,49.0,0.0,4316.067780586455,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,1GKL_A_Repair,-60.87,-0.21508833922261483
1GMM,/home/ubuntu/xylanase-thesis/data/raw/pdb/1GMM.cif,A,126,cif,742.0,7.0,0.0,2405.788765096157,O52780,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM6;GH11;,GH11,1GMM_A_Repair,29.39,0.23325396825396827
1GNY,/home/ubuntu/xylanase-thesis/data/raw/pdb/1GNY.cif,A,153,cif,909.0,25.0,1.0,3011.7264389534944,Q59675,bacterial,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),CBM15;GH10;,GH10,1GNY_A_Repair,12.58,0.08222222222222222
1GOK,/home/ubuntu/xylanase-thesis/data/raw/pdb/1GOK.cif,A,302,cif,1787.0,50.0,1.0,5748.449807630193,P23360,fungal,Thermoascus aurantiacus,GH10;,GH10,1GOK_A_Repair,-57.14,-0.18920529801324504
1GOM,/home/ubuntu/xylanase-thesis/data/raw/pdb/1GOM.cif,A,302,cif,1660.0,47.0,1.0,6884.93465997664,P23360,fungal,Thermoascus aurantiacus,GH10;,GH10,1GOM_A_Repair,-45.26,-0.14986754966887417
1GOO,/home/ubuntu/xylanase-thesis/data/raw/pdb/1GOO.cif,A,301,cif,1907.0,43.0,1.0,5124.56510715521,P23360,fungal,Thermoascus aurantiacus,GH10;,GH10,1GOO_A_Repair,-42.95,-0.14269102990033222
1GOQ,/home/ubuntu/xylanase-thesis/data/raw/pdb/1GOQ.cif,A,302,cif,1553.0,47.0,1.0,8006.486755891968,P23360,fungal,Thermoascus aurantiacus,GH10;,GH10,1GOQ_A_Repair,-31.34,-0.10377483443708609
1GOR,/home/ubuntu/xylanase-thesis/data/raw/pdb/1GOR.cif,A,302,cif,1805.0,44.0,1.0,5853.977613890675,P23360,fungal,Thermoascus aurantiacus,GH10;,GH10,1GOR_A_Repair,-38.61,-0.1278476821192053
1H1A,/home/ubuntu/xylanase-thesis/data/raw/pdb/1H1A.cif,A,190,cif,1306.0,18.0,0.0,2355.771656953913,Q8J1V6,fungal,Thermochaetoides thermophila,GH11;,GH11,1H1A_A_Repair,11.01,0.05794736842105263
1H4G,/home/ubuntu/xylanase-thesis/data/raw/pdb/1H4G.cif,B,206,cif,1285.0,29.0,0.0,3024.8910819064336,Q7SIE3,bacterial,Salipaludibacillus agaradhaerens (Bacillus agaradhaerens),,unknown,1H4G_B_Repair,-26.57,-0.12898058252427186
1H4H,/home/ubuntu/xylanase-thesis/data/raw/pdb/1H4H.cif,B,208,cif,972.0,32.0,0.0,5737.513508912817,Q7SIE2,bacterial,Salipaludibacillus agaradhaerens (Bacillus agaradhaerens),,unknown,1H4H_B_Repair,-0.0,-0.0
1H6X,/home/ubuntu/xylanase-thesis/data/raw/pdb/1H6X.cif,A,159,cif,706.0,18.0,0.0,4862.686844436503,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,1H6X_A_Repair,8.35,0.05251572327044025
1H6Y,/home/ubuntu/xylanase-thesis/data/raw/pdb/1H6Y.cif,A,157,cif,738.0,17.0,0.0,4024.504709414943,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,1H6Y_A_Repair,6.11,0.0389171974522293
1HEH,/home/ubuntu/xylanase-thesis/data/raw/pdb/1HEH.cif,C,88,cif,222.0,2.0,1.0,5266.566540230091,P54865,bacterial,Cellulomonas fimi,CBM2;GH11;,GH11,1HEH_C_Repair,137.28,1.56
1HEJ,/home/ubuntu/xylanase-thesis/data/raw/pdb/1HEJ.cif,C,88,cif,241.0,8.0,1.0,4989.293744659299,P54865,bacterial,Cellulomonas fimi,CBM2;GH11;,GH11,1HEJ_C_Repair,110.23,1.2526136363636364
1HIX,/home/ubuntu/xylanase-thesis/data/raw/pdb/1HIX.cif,B,187,cif,839.0,12.0,0.0,4887.314492964749,Q59962,bacterial,Streptomyces sp. S38,GH11;,GH11,1HIX_B_Repair,19.28,0.10310160427807487
1HIZ,/home/ubuntu/xylanase-thesis/data/raw/pdb/1HIZ.cif,A,375,cif,2739.0,103.0,0.0,5490.1017902754365,P40943,bacterial,Geobacillus stearothermophilus (Bacillus stearothermophilus),GH10;,GH10,1HIZ_A_Repair,-29.51,-0.07869333333333334
1HV0,/home/ubuntu/xylanase-thesis/data/raw/pdb/1HV0.cif,A,185,cif,982.0,10.0,0.0,3540.854773669282,P09850,bacterial,Niallia circulans (Bacillus circulans),GH11;,GH11,1HV0_A_Repair,0.61,0.0032972972972972973
1HV1,/home/ubuntu/xylanase-thesis/data/raw/pdb/1HV1.cif,A,185,cif,932.0,10.0,0.0,3886.0512402865793,P09850,bacterial,Niallia circulans (Bacillus circulans),GH11;,GH11,1HV1_A_Repair,0.07,0.0003783783783783784
1I1W,/home/ubuntu/xylanase-thesis/data/raw/pdb/1I1W.cif,A,302,cif,2154.0,43.0,1.0,3591.1623911673846,P23360,fungal,Thermoascus aurantiacus,GH10;,GH10,1I1W_A_Repair,-65.27,-0.21612582781456952
1I1X,/home/ubuntu/xylanase-thesis/data/raw/pdb/1I1X.cif,A,301,cif,1830.0,47.0,1.0,5693.68421989116,P23360,fungal,Thermoascus aurantiacus,GH10;,GH10,1I1X_A_Repair,-56.78,-0.18863787375415283
1I82,/home/ubuntu/xylanase-thesis/data/raw/pdb/1I82.cif,A,189,cif,961.0,24.0,0.0,4813.47169693413,Q60037,bacterial,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),CBM22;CBM9;GH10;,GH10,1I82_A_Repair,4.62,0.024444444444444446
1I8A,/home/ubuntu/xylanase-thesis/data/raw/pdb/1I8A.cif,A,189,cif,995.0,23.0,0.0,4647.351100951545,Q60037,bacterial,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),CBM22;CBM9;GH10;,GH10,1I8A_A_Repair,-0.52,-0.0027513227513227515
1I8U,/home/ubuntu/xylanase-thesis/data/raw/pdb/1I8U.cif,A,189,cif,976.0,20.0,0.0,5012.19806625423,Q60037,bacterial,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),CBM22;CBM9;GH10;,GH10,1I8U_A_Repair,1.95,0.010317460317460317
1IGO,/home/ubuntu/xylanase-thesis/data/raw/pdb/1IGO.cif,A,205,cif,842.0,27.0,0.0,6922.160183010372,Q7SID8,bacterial,Bacillus subtilis,GH11;,GH11,1IGO_A_Repair,12.45,0.06073170731707317
1ISV,/home/ubuntu/xylanase-thesis/data/raw/pdb/1ISV.cif,A,436,cif,2718.0,77.0,5.0,8085.853288621684,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,1ISV_A_Repair,-3.61,-0.008279816513761468
1ISW,/home/ubuntu/xylanase-thesis/data/raw/pdb/1ISW.cif,A,436,cif,2576.0,78.0,5.0,9193.986260012764,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,1ISW_A_Repair,23.2,0.05321100917431192
1ISX,/home/ubuntu/xylanase-thesis/data/raw/pdb/1ISX.cif,A,436,cif,2631.0,78.0,5.0,8454.49630315956,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,1ISX_A_Repair,20.12,0.04614678899082569
1ISY,/home/ubuntu/xylanase-thesis/data/raw/pdb/1ISY.cif,A,436,cif,2508.0,73.0,5.0,9388.513903317717,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,1ISY_A_Repair,11.22,0.02573394495412844
1ISZ,/home/ubuntu/xylanase-thesis/data/raw/pdb/1ISZ.cif,A,427,cif,2146.0,74.0,5.0,12197.20931243168,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,1ISZ_A_Repair,23.14,0.054192037470726
1IT0,/home/ubuntu/xylanase-thesis/data/raw/pdb/1IT0.cif,A,427,cif,2191.0,74.0,5.0,11519.644331382136,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,1IT0_A_Repair,27.45,0.06428571428571428
1J01,/home/ubuntu/xylanase-thesis/data/raw/pdb/1J01.cif,A,312,cif,1715.0,63.0,2.0,8347.865131860031,P07986,bacterial,Cellulomonas fimi,CBM2;GH10;,GH10,1J01_A_Repair,-23.38,-0.07493589743589743
1JJF,/home/ubuntu/xylanase-thesis/data/raw/pdb/1JJF.cif,A,255,cif,1557.0,37.0,0.0,4870.160969819551,P10478,bacterial,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum),CBM6;GH10;,GH10,1JJF_A_Repair,-19.55,-0.07666666666666667
1JT2,/home/ubuntu/xylanase-thesis/data/raw/pdb/1JT2.cif,A,255,cif,1605.0,35.0,0.0,4206.492472014792,P10478,bacterial,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum),CBM6;GH10;,GH10,1JT2_A_Repair,-30.29,-0.1187843137254902
1K42,/home/ubuntu/xylanase-thesis/data/raw/pdb/1K42.cif,A,168,cif,509.0,4.0,0.0,8349.4210119049,P96988,bacterial,Rhodothermus marinus (Rhodothermus obamensis),CBM4;GH10;,GH10,1K42_A_Repair,230.37,1.37125
1K45,/home/ubuntu/xylanase-thesis/data/raw/pdb/1K45.cif,A,168,cif,504.0,5.0,0.0,8471.675939222903,P96988,bacterial,Rhodothermus marinus (Rhodothermus obamensis),CBM4;GH10;,GH10,1K45_A_Repair,252.35,1.5020833333333332
1K6A,/home/ubuntu/xylanase-thesis/data/raw/pdb/1K6A.cif,A,302,cif,1700.0,48.0,1.0,7040.391961643441,P23360,fungal,Thermoascus aurantiacus,GH10;,GH10,1K6A_A_Repair,-67.18,-0.22245033112582785
1KNL,/home/ubuntu/xylanase-thesis/data/raw/pdb/1KNL.cif,A,126,cif,991.0,13.0,3.0,1551.9300324677,P26514,bacterial,Streptomyces lividans,CBM13;GH10;,GH10,1KNL_A_Repair,0.14,0.0011111111111111111
1KNM,/home/ubuntu/xylanase-thesis/data/raw/pdb/1KNM.cif,A,129,cif,899.0,13.0,3.0,1873.1268046627256,P26514,bacterial,Streptomyces lividans,CBM13;GH10;,GH10,1KNM_A_Repair,10.01,0.0775968992248062
1M4W,/home/ubuntu/xylanase-thesis/data/raw/pdb/1M4W.cif,A,197,cif,1014.0,22.0,0.0,4703.904229777729,Q8GMV7,bacterial,Thermopolyspora flexuosa,CBM2;GH11;,GH11,1M4W_A_Repair,12.21,0.06197969543147209
1MC9,/home/ubuntu/xylanase-thesis/data/raw/pdb/1MC9.cif,A,126,cif,796.0,16.0,2.0,2322.979298145512,P26514,bacterial,Streptomyces lividans,CBM13;GH10;,GH10,1MC9_A_Repair,26.24,0.20825396825396825
1N82,/home/ubuntu/xylanase-thesis/data/raw/pdb/1N82.cif,A,330,cif,2041.0,109.0,0.0,7566.41828777308,Q09LY9,bacterial,Geobacillus stearothermophilus (Bacillus stearothermophilus),GH10;,GH10,1N82_A_Repair,-70.51,-0.21366666666666667
1NAE,/home/ubuntu/xylanase-thesis/data/raw/pdb/1NAE.cif,A,129,cif,707.0,6.0,0.0,2377.97530285613,Q8GJ44,bacterial,Thermoclostridium stercorarium (Clostridium stercorarium),CBM6;GH11;,GH11,1NAE_A_Repair,-0.93,-0.007209302325581396
1NQ6,/home/ubuntu/xylanase-thesis/data/raw/pdb/1NQ6.cif,A,302,cif,1966.0,58.0,2.0,4648.786155342962,Q59922,bacterial,Streptomyces halstedii,CBM2;GH10;,GH10,1NQ6_A_Repair,-27.79,-0.09201986754966887
1O8P,/home/ubuntu/xylanase-thesis/data/raw/pdb/1O8P.cif,A,131,cif,575.0,7.0,0.0,3203.6663021242,Q8GJ44,bacterial,Thermoclostridium stercorarium (Clostridium stercorarium),CBM6;GH11;,GH11,1O8P_A_Repair,-10.5,-0.08015267175572519
1O8S,/home/ubuntu/xylanase-thesis/data/raw/pdb/1O8S.cif,A,132,cif,820.0,8.0,0.0,2328.4533474152054,Q8GJ44,bacterial,Thermoclostridium stercorarium (Clostridium stercorarium),CBM6;GH11;,GH11,1O8S_A_Repair,-14.88,-0.11272727272727273
1OD3,/home/ubuntu/xylanase-thesis/data/raw/pdb/1OD3.cif,A,132,cif,957.0,8.0,0.0,1855.5180144765368,Q8GJ44,bacterial,Thermoclostridium stercorarium (Clostridium stercorarium),CBM6;GH11;,GH11,1OD3_A_Repair,-13.47,-0.10204545454545455
1OD8,/home/ubuntu/xylanase-thesis/data/raw/pdb/1OD8.cif,A,302,cif,2779.0,63.0,2.0,2003.2188244125944,P26514,bacterial,Streptomyces lividans,CBM13;GH10;,GH10,1OD8_A_Repair,-38.13,-0.12625827814569537
1OHZ,/home/ubuntu/xylanase-thesis/data/raw/pdb/1OHZ.cif,A,140,cif,529.0,12.0,0.0,4937.663139662912,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,1OHZ_A_Repair,-19.53,-0.1395
1PVX,/home/ubuntu/xylanase-thesis/data/raw/pdb/1PVX.cif,A,194,cif,839.0,17.0,1.0,5322.994432606731,P81536,fungal,Byssochlamys spectabilis (Paecilomyces variotii),GH11;,GH11,1PVX_A_Repair,4.58,0.023608247422680414
1QH6,/home/ubuntu/xylanase-thesis/data/raw/pdb/1QH6.cif,A,206,cif,1253.0,30.0,0.0,3164.244366002636,Q7SIE3,bacterial,Salipaludibacillus agaradhaerens (Bacillus agaradhaerens),,unknown,1QH6_A_Repair,-22.14,-0.1074757281553398
1QH7,/home/ubuntu/xylanase-thesis/data/raw/pdb/1QH7.cif,A,206,cif,1348.0,28.0,0.0,2847.7209642072366,Q7SIE3,bacterial,Salipaludibacillus agaradhaerens (Bacillus agaradhaerens),,unknown,1QH7_A_Repair,-26.06,-0.12650485436893202
1QLD,/home/ubuntu/xylanase-thesis/data/raw/pdb/1QLD.cif,A,50,cif,151.0,2.0,2.0,3627.016181751226,P14768,bacterial,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),CBM10;CBM2;GH10;,GH10,1QLD_A_Repair,95.3,1.906
1R85,/home/ubuntu/xylanase-thesis/data/raw/pdb/1R85.cif,A,371,cif,2593.0,107.0,0.0,6140.182145871181,P40943,bacterial,Geobacillus stearothermophilus (Bacillus stearothermophilus),GH10;,GH10,1R85_A_Repair,-90.23,-0.24320754716981133
1R86,/home/ubuntu/xylanase-thesis/data/raw/pdb/1R86.cif,A,371,cif,2198.0,102.0,0.0,9337.796044084533,P40943,bacterial,Geobacillus stearothermophilus (Bacillus stearothermophilus),GH10;,GH10,1R86_A_Repair,-67.99,-0.18326145552560646
1R87,/home/ubuntu/xylanase-thesis/data/raw/pdb/1R87.cif,A,371,cif,2146.0,109.0,0.0,9300.07759259708,P40943,bacterial,Geobacillus stearothermophilus (Bacillus stearothermophilus),GH10;,GH10,1R87_A_Repair,-79.44,-0.21412398921832884
1RED,/home/ubuntu/xylanase-thesis/data/raw/pdb/1RED.cif,A,189,cif,889.0,22.0,0.0,4461.808400069487,P36217,fungal,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei),GH11;,GH11,1RED_A_Repair,-0.2,-0.0010582010582010583
1REE,/home/ubuntu/xylanase-thesis/data/raw/pdb/1REE.cif,A,189,cif,826.0,19.0,0.0,5332.61045816188,P36217,fungal,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei),GH11;,GH11,1REE_A_Repair,7.65,0.04047619047619048
1REF,/home/ubuntu/xylanase-thesis/data/raw/pdb/1REF.cif,A,189,cif,876.0,20.0,0.0,4693.474695088115,P36217,fungal,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei),GH11;,GH11,1REF_A_Repair,13.33,0.07052910052910052
1T6G,/home/ubuntu/xylanase-thesis/data/raw/pdb/1T6G.cif,A,368,cif,1832.0,44.0,5.0,8929.120518609689,P55329,fungal,Aspergillus niger,GH11;,GH11,1T6G_A_Repair,-47.13,-0.12807065217391306
1TA3,/home/ubuntu/xylanase-thesis/data/raw/pdb/1TA3.cif,B,301,cif,2121.0,51.0,0.0,3674.039791917573,Q00177,fungal,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),GH10;,GH10,1TA3_B_Repair,-47.29,-0.15710963455149501
1TE1,/home/ubuntu/xylanase-thesis/data/raw/pdb/1TE1.cif,A,274,cif,1254.0,64.0,2.0,8357.962700737116,Q9HFH0,fungal,Talaromyces funiculosus (Fruitlet core rot fungus) (Penicillium funiculosum),GH11;,GH11,1TE1_A_Repair,34.27,0.12507299270072994
1TUX,/home/ubuntu/xylanase-thesis/data/raw/pdb/1TUX.cif,A,301,cif,1743.0,43.0,1.0,5887.667588552062,P23360,fungal,Thermoascus aurantiacus,GH10;,GH10,1TUX_A_Repair,-35.72,-0.11867109634551494
1UKR,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UKR.cif,A,181,cif,737.0,11.0,1.0,5906.535893498558,P55329,fungal,Aspergillus niger,GH11;,GH11,1UKR_A_Repair,3.08,0.01701657458563536
1UQY,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UQY.cif,A,347,cif,2543.0,94.0,0.0,5582.289966872175,O68541,bacterial,Cellvibrio mixtus,GH10;,GH10,1UQY_A_Repair,-79.42,-0.22887608069164267
1UQZ,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UQZ.cif,A,348,cif,2569.0,96.0,0.0,5444.578064406511,O68541,bacterial,Cellvibrio mixtus,GH10;,GH10,1UQZ_A_Repair,-84.83,-0.24376436781609195
